------------------------------
614e5c1f                                 littlefs-reg2mem.bc                                                        
lfs_emubd_erase: lfs_emubd_erase '==0
lfs_emubd_prog: lfs_emubd_prog '==0
lfs_emubd_read: lfs_emubd_read '==0
lfs_emubd_sync: lfs_emubd_sync '==0
lfs_mount: lfs_mount <0
lfs_format: lfs_format <0
lfs_pred: lfs_pred <0
lfs_file_relocate: lfs_file_relocate <0
lfs_traverse: lfs_traverse <0
lfs_cache_flush: lfs_cache_flush <0
lfs_dir_append: lfs_dir_append <0
lfs_dir_next: lfs_dir_next <0
lfs_ctz_traverse: lfs_ctz_traverse <0
unlink: unlink <0
lfs_file_rewind: lfs_file_rewind <0
lfs_alloc: lfs_alloc <0
strlen: strlen emptyset
lfs_file_size: lfs_file_size emptyset
memcmp: memcmp emptyset
lfs_init: lfs_init <0
lfs_bd_crc: lfs_bd_crc <0
mkdir: mkdir <0
lfs_alloc_lookahead: lfs_alloc_lookahead emptyset
lfs_parent: lfs_parent <0
stat: stat <0
lfs_file_read: lfs_file_read <0
printf: printf <0
lfs_stat: lfs_stat <0
lfs_moved: lfs_moved <0
strcpy: strcpy emptyset
lfs_dir_alloc: lfs_dir_alloc <0
fclose: fclose <0
lfs_cache_prog: lfs_cache_prog <0
feof: feof emptyset
snprintf: snprintf <0
malloc: malloc '==0
lfs_dir_fetch: lfs_dir_fetch <0
fseek: fseek <0
strchr: strchr '==0
lfs_dir_remove: lfs_dir_remove <0
lfs_dir_open: lfs_dir_open <0
lfs_dir_commit: lfs_dir_commit <0
lfs_emubd_create: lfs_emubd_create <0
lfs_deorphan: lfs_deorphan <0
lfs_file_open: lfs_file_open <0
lfs_mkdir: lfs_mkdir <0
lfs_file_sync: lfs_file_sync <0
lfs_dir_close: lfs_dir_close emptyset
lfs_cache_cmp: lfs_cache_cmp <0
lfs_dir_seek: lfs_dir_seek <0
lfs_cache_read: lfs_cache_read <0
fopen: fopen '==0
lfs_dir_find: lfs_dir_find <0
lfs_file_opencfg: lfs_file_opencfg <0
lfs_dir_rewind: lfs_dir_rewind <0
lfs_dir_tell: lfs_dir_tell emptyset
lfs_ctz_find: lfs_ctz_find <0
lfs_file_write: lfs_file_write <0
lfs_file_flush: lfs_file_flush <0
lfs_file_close: lfs_file_close <0
lfs_dir_read: lfs_dir_read <0
lfs_file_seek: lfs_file_seek <0
lfs_file_tell: lfs_file_tell emptyset
strcspn: strcspn emptyset
lfs_file_truncate: lfs_file_truncate <0
lfs_remove: lfs_remove <0
lfs_rename: lfs_rename <0
------------------------------
91d8f71a                                 netdata-reg2mem.bc                                                         
url_encode: url_encode '==0
__HoltWinters: __HoltWinters emptyset
copy_series: copy_series '==0
listen_sockets_check_is_member: listen_sockets_check_is_member emptyset
netdata_rwlock_trywrlock_debug: netdata_rwlock_trywrlock_debug >0
netdata_rwlock_tryrdlock_debug: netdata_rwlock_tryrdlock_debug >0
netdata_rwlock_wrlock_debug: netdata_rwlock_wrlock_debug >0
netdata_rwlock_rdlock_debug: netdata_rwlock_rdlock_debug >0
netdata_rwlock_init_debug: netdata_rwlock_init_debug >0
netdata_rwlock_destroy_debug: netdata_rwlock_destroy_debug >0
__netdata_rwlock_trywrlock: __netdata_rwlock_trywrlock >0
__netdata_rwlock_tryrdlock: __netdata_rwlock_tryrdlock >0
netdata_mutex_trylock_debug: netdata_mutex_trylock_debug >0
__netdata_mutex_trylock: __netdata_mutex_trylock >0
strsep_on_1char: strsep_on_1char emptyset
print_number_llu_r: print_number_llu_r emptyset
registry_url_compare: registry_url_compare emptyset
run_all_mockup_tests: run_all_mockup_tests >0
rrdpush_init: rrdpush_init '==0
registry_db_load: registry_db_load '==0
verify_netdata_host_prefix: verify_netdata_host_prefix <0
is_virtual_filesystem: is_virtual_filesystem <0
get_system_pid_max: get_system_pid_max '==0
netdata_mutex_unlock_debug: netdata_mutex_unlock_debug >0
web_server_mode_id: web_server_mode_id emptyset
bcache_read_number_with_units: bcache_read_number_with_units '==0
get_disk: get_disk '==0
mountinfo_find: mountinfo_find emptyset
get_disk_name: get_disk_name '==0
read_tcp_mem: read_tcp_mem >0
get_netdev: get_netdev '==0
find_all_nodes: find_all_nodes '==0
sysconf: sysconf <0
do_proc_vmstat: do_proc_vmstat '==0
get_numa_node_count: get_numa_node_count '==0
do_proc_softirqs: do_proc_softirqs >0
do_proc_interrupts: do_proc_interrupts >0
netdata_mutex_lock_debug: netdata_mutex_lock_debug >0
get_interrupts_array: get_interrupts_array '==0
netdata_mutex_init_debug: netdata_mutex_init_debug >0
do_proc_sys_kernel_random_entropy_avail: do_proc_sys_kernel_random_entropy_avail '==0
do_proc_loadavg: do_proc_loadavg >0
read_proc_uptime: read_proc_uptime '==0
do_proc_stat: do_proc_stat '==0
read_single_signed_number_file: read_single_signed_number_file >0
read_per_core_files: read_per_core_files '==0
rrddim_hide: rrddim_hide >0
netdev_rename_find: netdev_rename_find emptyset
find_all_btrfs_pools: find_all_btrfs_pools '==0
cgroup_title_strdupz: cgroup_title_strdupz '==0
cgroup_find: cgroup_find emptyset
tc_class_compare: tc_class_compare emptyset
tc_device_compare: tc_device_compare emptyset
statsd_readfile: statsd_readfile <0
string2valuetype: string2valuetype emptyset
statsd_process: statsd_process emptyset
get_disk_name_from_path: get_disk_name_from_path '==0
statsd_parse_int: statsd_parse_int emptyset
statsd_parse_sampling_rate: statsd_parse_sampling_rate '==0
statsd_parse_float: statsd_parse_float '==0
statsd_metric_index_find: statsd_metric_index_find emptyset
statsd_parse_skip_spaces: statsd_parse_skip_spaces emptyset
do_proc_net_dev: do_proc_net_dev '==0
statsd_parse_skip_up_to: statsd_parse_skip_up_to emptyset
sum: sum emptyset
statsd_collector_thread: statsd_collector_thread emptyset
cgroup_add: cgroup_add '==0
format_dimension_collected_json_plaintext: format_dimension_collected_json_plaintext emptyset
process_opentsdb_response: process_opentsdb_response emptyset
trim: trim emptyset
registry_log_load: registry_log_load <0
strcasecmp: strcasecmp emptyset
health_parse_options: health_parse_options '==0
do_sys_kernel_mm_ksm: do_sys_kernel_mm_ksm '==0
health_source_file: health_source_file '==0
rrdset_compare: rrdset_compare emptyset
rrdpush_receiver_thread: rrdpush_receiver_thread emptyset
rrdpush_receive: rrdpush_receive >=0
sock_delnonblock: sock_delnonblock <0
rrdhost_create: rrdhost_create '==0
health_stock_config_dir: health_stock_config_dir '==0
health_user_config_dir: health_user_config_dir '==0
fgets_trim_len: fgets_trim_len '==0
get_multiple_connections_strategy: get_multiple_connections_strategy >0
registry_machine_save_url: registry_machine_save_url <0
registry_person_save_url: registry_person_save_url <0
registry_person_save: registry_person_save <0
registry_machine_save: registry_machine_save <0
machine_request_callback: machine_request_callback emptyset
registry_person_url_callback_verify_machine_exists: registry_person_url_callback_verify_machine_exists emptyset
timeval_msec: timeval_msec emptyset
foreach_host_variable_callback: foreach_host_variable_callback <0
prometheus_preparation: prometheus_preparation '==0
netdata_rwlock_unlock_debug: netdata_rwlock_unlock_debug >0
parse_full_expression: parse_full_expression '==0
parse_next_operand_given_its_operator: parse_next_operand_given_its_operator '==0
parse_abs: parse_abs emptyset
isoperatorterm_symbol: isoperatorterm_symbol emptyset
munmap: munmap <0
isoperatorterm_word: isoperatorterm_word emptyset
rrdcalctemplate_add_template_from_config: rrdcalctemplate_add_template_from_config '==0
__netdata_rwlock_wrlock: __netdata_rwlock_wrlock >0
rrdcalc_get_unique_id: rrdcalc_get_unique_id emptyset
rrdset_done_interpolate: rrdset_done_interpolate emptyset
match_pattern: match_pattern '==0
url_decode_r: url_decode_r emptyset
add_wildcarded: add_wildcarded emptyset
format_dimension_collected_opentsdb_telnet: format_dimension_collected_opentsdb_telnet emptyset
expression_strerror: expression_strerror emptyset
rrdset_index_add_name: rrdset_index_add_name '==0
appconfig_set: appconfig_set emptyset
do_proc_sys_devices_system_edac_mc: do_proc_sys_devices_system_edac_mc '==0
rrdvar_create_and_index: rrdvar_create_and_index '==0
kill: kill <0
appconfig_set_default: appconfig_set_default emptyset
sigaction: sigaction <0
appconfig_get_float: appconfig_get_float '==0
buffer_create: buffer_create '==0
memory_file_open: memory_file_open <0
prometheus_name_copy: prometheus_name_copy emptyset
rrdset_strncpyz_name: rrdset_strncpyz_name emptyset
align_entries_to_pagesize: align_entries_to_pagesize emptyset
rrdset_find_on_create: rrdset_find_on_create emptyset
now_realtime_usec: now_realtime_usec '==0
grouping_create_stddev: grouping_create_stddev '==0
rrdpush_sender_thread_connect_to_master: rrdpush_sender_thread_connect_to_master '==0
parse_close_subexpression: parse_close_subexpression emptyset
mallopt: mallopt <0
stat: stat <0
strdupz: strdupz '==0
recvmmsg: recvmmsg <0
web_client_api_request: web_client_api_request >0
parse_constant: parse_constant '==0
rrddim_set: rrddim_set '==0
heartbeat_next: heartbeat_next '==0
now_monotonic_usec: now_monotonic_usec '==0
web_client_send_chunk_close: web_client_send_chunk_close <0
web_server_mode_name: web_server_mode_name emptyset
backend_name_copy: backend_name_copy emptyset
__netdata_mutex_init: __netdata_mutex_init >0
rrdset_compare_name: rrdset_compare_name emptyset
