ef786082                                 mbedtls-reg2mem.bc                                                         
mbedtls_version_get_number: mbedtls_version_get_number emptyset
mbedtls_hkdf: mbedtls_hkdf <0
mbedtls_hkdf_expand: mbedtls_hkdf_expand <0
mbedtls_hkdf_extract: mbedtls_hkdf_extract <0
dummy_send: dummy_send emptyset
dummy_entropy: dummy_entropy emptyset
LLVMFuzzerTestOneInput: LLVMFuzzerTestOneInput emptyset
dummy_random: dummy_random <0
mbedtls_arc4_self_test: mbedtls_arc4_self_test '==0
mbedtls_xtea_self_test: mbedtls_xtea_self_test '==0
mbedtls_xtea_crypt_ecb: mbedtls_xtea_crypt_ecb emptyset
mbedtls_ssl_cookie_check: mbedtls_ssl_cookie_check <0
mbedtls_ssl_cookie_write: mbedtls_ssl_cookie_write <0
mbedtls_ssl_cookie_setup: mbedtls_ssl_cookie_setup <0
mbedtls_timing_get_delay: mbedtls_timing_get_delay <0
mbedtls_timing_get_timer: mbedtls_timing_get_timer '==0
mbedtls_x509write_csr_pem: mbedtls_x509write_csr_pem <0
mbedtls_x509write_csr_der: mbedtls_x509write_csr_der <0
mbedtls_x509write_csr_set_ns_cert_type: mbedtls_x509write_csr_set_ns_cert_type <0
mbedtls_x509write_csr_set_key_usage: mbedtls_x509write_csr_set_key_usage <0
mbedtls_x509_csr_parse_file: mbedtls_x509_csr_parse_file <0
mbedtls_entropy_update_seed_file: mbedtls_entropy_update_seed_file <0
mbedtls_entropy_write_seed_file: mbedtls_entropy_write_seed_file <0
fuzz_recv: fuzz_recv emptyset
mbedtls_entropy_gather: mbedtls_entropy_gather <0
mbedtls_chacha20_self_test: mbedtls_chacha20_self_test emptyset
mbedtls_asn1_find_named_data: mbedtls_asn1_find_named_data emptyset
mbedtls_pk_check_pair: mbedtls_pk_check_pair <0
mbedtls_pk_setup_rsa_alt: mbedtls_pk_setup_rsa_alt <0
mbedtls_pk_write_pubkey_pem: mbedtls_pk_write_pubkey_pem <0
ssl_ticket_select_key: ssl_ticket_select_key emptyset
ssl_ticket_gen_key: ssl_ticket_gen_key <0
