cd77a397                                 zlib-reg2mem.bc                                                            
gzsetparams: gzsetparams <0
gzputs: gzputs <0
gzputc: gzputc <0
gzwrite: gzwrite '==0
uncompress: uncompress <0
adler32_combine64: adler32_combine64 emptyset
gztell: gztell <0
gzfwrite: gzfwrite '==0
gztell64: gztell64 <0
gzclose_w: gzclose_w <0
gzvprintf: gzvprintf <0
gz_comp: gz_comp <0
compressBound: compressBound emptyset
compress: compress <0
gzclose: gzclose <0
inflateCodesUsed: inflateCodesUsed <0
inflateValidate: inflateValidate <0
gz_write: gz_write '==0
inflateCopy: inflateCopy <0
uncompress2: uncompress2 <0
inflateSync: inflateSync <0
syncsearch: syncsearch emptyset
inflateGetHeader: inflateGetHeader <0
inflateSetDictionary: inflateSetDictionary <0
inflatePrime: inflatePrime <0
gf2_matrix_times: gf2_matrix_times emptyset
inflateBack: inflateBack <0
gzflush: gzflush <0
inflateBackEnd: inflateBackEnd <0
gzclose_r: gzclose_r <0
get_crc_table: get_crc_table emptyset
inflateEnd: inflateEnd <0
gzdirect: gzdirect '==0
gzgets: gzgets '==0
adler32_combine: adler32_combine emptyset
gzungetc: gzungetc <0
inflateBackInit_: inflateBackInit_ <0
gzgetc_: gzgetc_ <0
gzfread: gzfread '==0
gzseek64: gzseek64 <0
gzread: gzread <0
gz_read: gz_read '==0
gzgetc: gzgetc <0
zcalloc: zcalloc '==0
inflateGetDictionary: inflateGetDictionary <0
deflateInit2_: deflateInit2_ <0
deflateReset: deflateReset <0
gzoffset: gzoffset <0
inflateInit_: inflateInit_ <0
deflateResetKeep: deflateResetKeep <0
gzrewind: gzrewind <0
compress2: compress2 <0
crc32: crc32 emptyset
deflateEnd: deflateEnd <0
gzprintf: gzprintf <0
crc32_z: crc32_z emptyset
gz_init: gz_init <0
_IO_putc: _IO_putc <0
lseek64: lseek64 <0
strlen: strlen emptyset
deflateGetDictionary: deflateGetDictionary <0
deflatePending: deflatePending <0
memcmp: memcmp emptyset
strerror: strerror emptyset
gzeof: gzeof emptyset
read_buf: read_buf emptyset
crc32_big: crc32_big emptyset
inflateMark: inflateMark emptyset
zError: zError emptyset
malloc: malloc '==0
deflate: deflate <0
deflateStateCheck: deflateStateCheck emptyset
memchr: memchr '==0
build_bl_tree: build_bl_tree >0
gz_load: gz_load <0
adler32_z: adler32_z emptyset
inflateStateCheck: inflateStateCheck emptyset
read: read <0
gzerror: gzerror emptyset
open: open <0
gzbuffer: gzbuffer <0
gz_fetch: gz_fetch <0
snprintf: snprintf <0
gzopen64: gzopen64 '==0
deflateInit_: deflateInit_ <0
fprintf: fprintf <0
crc32_little: crc32_little emptyset
inflateReset: inflateReset <0
gz_open: gz_open '==0
write: write <0
gzdopen: gzdopen '==0
vsnprintf: vsnprintf <0
deflateSetDictionary: deflateSetDictionary <0
gzopen: gzopen '==0
close: close <0
detect_data_type: detect_data_type emptyset
inflateSyncPoint: inflateSyncPoint <0
adler32: adler32 emptyset
deflatePrime: deflatePrime <0
deflateParams: deflateParams <0
zlibCompileFlags: zlibCompileFlags emptyset
deflateTune: deflateTune <0
inflateInit2_: inflateInit2_ <0
deflateCopy: deflateCopy <0
gzoffset64: gzoffset64 <0
main: main emptyset
zlibVersion: zlibVersion emptyset
inflateResetKeep: inflateResetKeep <0
gz_avail: gz_avail <0
gzseek: gzseek <0
deflateSetHeader: deflateSetHeader <0
gz_look: gz_look <0
bi_reverse: bi_reverse emptyset
deflateBound: deflateBound emptyset
inflate_table: inflate_table <0
inflate: inflate <0
deflate_huff: deflate_huff emptyset
gz_decomp: gz_decomp <0
inflateReset2: inflateReset2 <0
gz_skip: gz_skip <0
